Collection,Code,ProductVariation,ProductGroup,DesignVariation,Grade,Construction,Textures,Finishes,EdgeDetail,Species,Certification
PROJECT,PROJ016,Almond Wide Plank,Almond,Wide Plank  ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJW003,Almond Extra Wide Plank,Almond,Extra Wide Plank ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak, UKTR Compliant
PROJECT,PROJBL003,Almond Narrow Herringbone,Almond,Narrow Herringbone  ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJ023,Bourne Wide Plank,Bourne,Wide Plank  ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJ013,Calico Wide Plank,Calico,Wide Plank  ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJW004,Calico Extra Wide Plank,Calico,Extra Wide Plank ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak, UKTR Compliant
PROJECT,PROJBL004,Calico Narrow Herringbone,Calico,Narrow Herringbone  ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJ014,Caramel Wide Plank,Caramel,Wide Plank  ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJBL005,Caramel Narrow Herringbone,Caramel,Narrow Herringbone  ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,TRADE001,Clevedon Wide Plank,Clevedon,Wide Plank ,Character ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak, UKTR Compliant
PROJECT,TRADEBL01,Clevedon Narrow Herringbone,Clevedon,Narrow Herringbone  ,Character ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak, UKTR Compliant
PROJECT,PROJ020,Creech Wide Plank,Creech,Wide Plank  ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJ024,Kennet Wide Plank,Kennet,Wide Plank  ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJBL007,Kennet Narrow Herringbone,Kennet,Narrow Herringbone,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJ018,Kinsley Wide Plank,Kinsley,Wide Plank  ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJ027,Ollerton Wide Plank,Ollerton,Wide Plank  ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJBL006,Ollerton Narrow Herringbone,Ollerton,Narrow Herringbone  ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJW001,Petworth  Extra Wide Plank,Petworth,Extra Wide Plank ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak, UKTR Compliant
PROJECT,PROJ025,Petworth Wide Plank,Petworth,Wide Plank  ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJBL001,Petworth Narrow Herringbone,Petworth,Narrow Herringbone  ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJ021,Porcelain Wide Plank,Porcelain,Wide Plank  ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJW002,Tattenhall Extra Wide Plank,Tattenhall,Extra Wide Plank ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak, UKTR Compliant
PROJECT,PROJ026,Tattenhall Wide Plank,Tattenhall,Wide Plank  ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJBL002,Tattenhall Narrow Herringbone,Tattenhall,Narrow Herringbone  ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJ028,Brindle Wide Plank,Brindle,Wide Plank  ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJW005,Brindle Extra Wide Plank,Brindle,Extra Wide Plank ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak, UKTR Compliant
PROJECT,PROJBL008,Brindle Narrow Herringbone,Brindle,Narrow Herringbone  ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
