Collection,Code,ProductVariation,ProductGroup,DesignVariation,Grade,Construction,Textures,Finishes,EdgeDetail,Species,Certification
CLASSIC TONES,WETT220A,Wettenhall Extra Wide Plank,Wettenhall,Extra Wide Plank,Nature  ,2Ply Engineered,Smooth,Organic Oil Super Matt,Micro Bevel,European Oak,FSC® 100%
CLASSIC TONES,DALBY01,Dalby Extra Wide Plank,Dalby,Extra Wide Plank ,Nature  ,2Ply Engineered,Brushed,Pearl Lacquer,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC TONES,DALBY02,Dalby Plank,Dalby,Plank   ,Nature  ,2Ply Engineered,Brushed,Pearl Lacquer,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC TONES,CLASS006,Thetford Plank,Thetford,Plank   ,Nature  ,2Ply Engineered,Brushed,Satin Lacquer,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC TONES,CLASS007,Wyre Plank,Wyre,Plank   ,Nature  ,2Ply Engineered,Brushed,Satin Lacquer,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC TONES,PAX220A,Paxton Extra Wide Plank,Paxton,Extra Wide Plank ,Nature  ,2Ply Engineered,Smooth,Satin Lacquer,Micro Bevel,European Oak,FSC® 100%
CLASSIC NATURALS ,OBL2BO49A,Glenariff Narrow Herringbone,Glenariff,Narrow Herringbone ,Nature  ,2Ply Engineered,Brushed,Hardened Lacquer,Square Shoulder,European Oak,FSC® 100%
CLASSIC NATURALS ,OBL2BL49A,Rostrevor Narrow Herringbone,Rostrevor,Narrow Herringbone ,Nature  ,2Ply Engineered,Smooth,Hardened Lacquer,Square Shoulder,European Oak,FSC® 100%
CLASSIC NATURALS ,OA14OI04,Peckforton Plank,Peckforton,Plank   ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC NATURALS ,OA18B&OI,Peckforton Plank,Peckforton,Plank   ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC NATURALS ,OA22BROI,Peckforton Extra Wide Plank,Peckforton,Extra Wide Plank  ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC NATURALS ,CLASS005,Gosford Plank,Gosford,Plank   ,Nature  ,2Ply Engineered,Smooth,Hardened Oil,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC NATURALS ,KINV18,Kinver Edge Plank,Kinver Edge,Plank  ,Select ,2Ply Engineered,Smooth,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
CLASSIC NATURALS ,KINV22,Kinver Edge Extra Wide Plank,Kinver Edge,Extra Wide Plank,Select ,2Ply Engineered,Smooth,Hardened Oil,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC NATURALS ,OA14OI03,Brampton Plank,Brampton,Plank   ,Nature  ,2Ply Engineered,Lightly Brushed,Hardened Oil,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC NATURALS ,OA18OI03,Brampton Plank,Brampton,Plank   ,Nature  ,2Ply Engineered,Lightly Brushed,Hardened Oil,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC NATURALS ,OA102POI,Brampton Narrow Plank,Brampton,Narrow Plank   ,Nature  ,2Ply Engineered,Lightly Brushed,Hardened Oil,Micro Bevel,European Oak, PEFC Certified
CLASSIC NATURALS ,OA182POI,Brampton Plank,Brampton,Plank   ,Nature  ,2Ply Engineered,Lightly Brushed,Hardened Oil,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC NATURALS ,OA220POI,Brampton Extra Wide Plank,Brampton,Extra Wide Plank,Nature  ,2Ply Engineered,Lightly Brushed,Hardened Oil,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC NATURALS ,OBR2BL50,Brampton Herringbone,Brampton,Herringbone   ,Nature  ,2Ply Engineered,Lightly Brushed,Hardened Oil,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC NATURALS ,OA14OI05,Pelham Plank,Pelham,Plank   ,Nature  ,2Ply Engineered,Brushed,Matt Lacquer,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC NATURALS ,OA18OI13,Wentworth Plank,Wentworth,Plank   ,Nature  ,2Ply Engineered,Brushed,Oxidated Oil,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC NATURALS ,OA18LAMB,Twinhills Plank,Twinhills,Plank   ,Nature  ,2Ply Engineered,Smooth,Satin Lacquer,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC NATURALS ,OA2P22LA,Twinhills Extra Wide Plank,Twinhills,Extra Wide Plank  ,Nature  ,2Ply Engineered,Smooth,Satin Lacquer,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC NATURALS ,CLASS008,Selborne Plank,Selborne,Plank   ,Prime ,2Ply Engineered,Lightly brushed,SuperMatt Lacquer,Micro Bevel,European Oak, FSC® Mix Credit
CLASSIC NATURALS ,CLASS028,Selborne Extra Wide Plank,Selborne,Extra Wide Plank  ,Prime ,2Ply Engineered,Lightly brushed,SuperMatt Lacquer,Micro Bevel,European Oak, FSC® Mix Credit
